Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000001215.4	Primary Assembly	X			DS483892.1	Chromosome	NW_001845181.1	unlocalized-scaffold	4013	chrX_DS483892v1_random	446	211000022280529
GCA_000001215.4	Primary Assembly	X			DS483893.1	Chromosome	NW_001845182.1	unlocalized-scaffold	4012	chrX_DS483893v1_random	446	211000022280539
GCA_000001215.4	Primary Assembly	X			DS483897.1	Chromosome	NW_001845186.1	unlocalized-scaffold	3984	chrX_DS483897v1_random	446	211000022279731
GCA_000001215.4	Primary Assembly	X			DS483903.1	Chromosome	NW_001845192.1	unlocalized-scaffold	3941	chrX_DS483903v1_random	446	211000022280603
GCA_000001215.4	Primary Assembly	X			DS483905.1	Chromosome	NW_001845194.1	unlocalized-scaffold	3926	chrX_DS483905v1_random	446	211000022279673
GCA_000001215.4	Primary Assembly	X			DS483907.1	Chromosome	NW_001845196.1	unlocalized-scaffold	3921	chrX_DS483907v1_random	446	211000022280439
GCA_000001215.4	Primary Assembly	X			DS483909.1	Chromosome	NW_001845198.1	unlocalized-scaffold	3913	chrX_DS483909v1_random	446	211000022280593
GCA_000001215.4	Primary Assembly	X			DS483923.1	Chromosome	NW_001845212.1	unlocalized-scaffold	3775	chrX_DS483923v1_random	446	211000022280629
GCA_000001215.4	Primary Assembly	X			DS483926.1	Chromosome	NW_001845215.1	unlocalized-scaffold	3745	chrX_DS483926v1_random	446	211000022280625
GCA_000001215.4	Primary Assembly	X			DS483928.1	Chromosome	NW_001845217.1	unlocalized-scaffold	3730	chrX_DS483928v1_random	446	211000022280495
GCA_000001215.4	Primary Assembly	X			DS483946.1	Chromosome	NW_001845235.1	unlocalized-scaffold	3603	chrX_DS483946v1_random	446	211000022280620
GCA_000001215.4	Primary Assembly	X			DS483948.1	Chromosome	NW_001845237.1	unlocalized-scaffold	3602	chrX_DS483948v1_random	446	211000022280578
GCA_000001215.4	Primary Assembly	X			DS483950.1	Chromosome	NW_001845239.1	unlocalized-scaffold	3582	chrX_DS483950v1_random	446	211000022280470
GCA_000001215.4	Primary Assembly	X			DS483955.1	Chromosome	NW_001845244.1	unlocalized-scaffold	3553	chrX_DS483955v1_random	446	211000022279730
GCA_000001215.4	Primary Assembly	X			DS483963.1	Chromosome	NW_001845252.1	unlocalized-scaffold	3523	chrX_DS483963v1_random	446	211000022278896
GCA_000001215.4	Primary Assembly	X			DS483969.1	Chromosome	NW_001845258.1	unlocalized-scaffold	3498	chrX_DS483969v1_random	446	211000022280668
GCA_000001215.4	Primary Assembly	X			DS483971.1	Chromosome	NW_001845260.1	unlocalized-scaffold	3478	chrX_DS483971v1_random	446	211000022279499
GCA_000001215.4	Primary Assembly	X			DS483974.1	Chromosome	NW_001845263.1	unlocalized-scaffold	3473	chrX_DS483974v1_random	446	211000022280597
GCA_000001215.4	Primary Assembly	X			DS483995.1	Chromosome	NW_001845284.1	unlocalized-scaffold	3347	chrX_DS483995v1_random	446	211000022279188
GCA_000001215.4	Primary Assembly	X			DS484002.1	Chromosome	NW_001845291.1	unlocalized-scaffold	3290	chrX_DS484002v1_random	446	211000022279772
GCA_000001215.4	Primary Assembly	X			DS484005.1	Chromosome	NW_001845294.1	unlocalized-scaffold	3275	chrX_DS484005v1_random	446	211000022279497
GCA_000001215.4	Primary Assembly	X			DS484012.1	Chromosome	NW_001845301.1	unlocalized-scaffold	3254	chrX_DS484012v1_random	446	211000022278361
GCA_000001215.4	Primary Assembly	X			DS484023.1	Chromosome	NW_001845312.1	unlocalized-scaffold	3206	chrX_DS484023v1_random	446	211000022278544
GCA_000001215.4	Primary Assembly	X			DS484026.1	Chromosome	NW_001845315.1	unlocalized-scaffold	3201	chrX_DS484026v1_random	446	211000022280669
GCA_000001215.4	Primary Assembly	X			DS484046.1	Chromosome	NW_001845335.1	unlocalized-scaffold	3123	chrX_DS484046v1_random	446	211000022280587
GCA_000001215.4	Primary Assembly	X			DS484051.1	Chromosome	NW_001845340.1	unlocalized-scaffold	3100	chrX_DS484051v1_random	446	211000022280538
GCA_000001215.4	Primary Assembly	X			DS484057.1	Chromosome	NW_001845346.1	unlocalized-scaffold	3076	chrX_DS484057v1_random	446	211000022279109
GCA_000001215.4	Primary Assembly	X			DS484060.1	Chromosome	NW_001845349.1	unlocalized-scaffold	3065	chrX_DS484060v1_random	446	211000022280641
GCA_000001215.4	Primary Assembly	X			DS484061.1	Chromosome	NW_001845350.1	unlocalized-scaffold	3059	chrX_DS484061v1_random	446	211000022280532
GCA_000001215.4	Primary Assembly	X			DS484067.1	Chromosome	NW_001845356.1	unlocalized-scaffold	3024	chrX_DS484067v1_random	446	211000022279460
GCA_000001215.4	Primary Assembly	X			DS484072.1	Chromosome	NW_001845361.1	unlocalized-scaffold	3002	chrX_DS484072v1_random	446	211000022279081
GCA_000001215.4	Primary Assembly	X			DS484074.1	Chromosome	NW_001845363.1	unlocalized-scaffold	2999	chrX_DS484074v1_random	446	211000022278235
GCA_000001215.4	Primary Assembly	X			DS484075.1	Chromosome	NW_001845364.1	unlocalized-scaffold	2996	chrX_DS484075v1_random	446	211000022280542
GCA_000001215.4	Primary Assembly	X			DS484081.1	Chromosome	NW_001845370.1	unlocalized-scaffold	2964	chrX_DS484081v1_random	446	211000022280584
GCA_000001215.4	Primary Assembly	X			DS484084.1	Chromosome	NW_001845373.1	unlocalized-scaffold	2956	chrX_DS484084v1_random	446	211000022278208
GCA_000001215.4	Primary Assembly	X			DS484085.1	Chromosome	NW_001845374.1	unlocalized-scaffold	2945	chrX_DS484085v1_random	446	211000022279277
GCA_000001215.4	Primary Assembly	X			DS484088.1	Chromosome	NW_001845377.1	unlocalized-scaffold	2937	chrX_DS484088v1_random	446	211000022279608
GCA_000001215.4	Primary Assembly	X			DS484099.1	Chromosome	NW_001845388.1	unlocalized-scaffold	2910	chrX_DS484099v1_random	446	211000022280639
GCA_000001215.4	Primary Assembly	X			DS484101.1	Chromosome	NW_001845390.1	unlocalized-scaffold	2904	chrX_DS484101v1_random	446	211000022278724
GCA_000001215.4	Primary Assembly	X			DS484112.1	Chromosome	NW_001845401.1	unlocalized-scaffold	2877	chrX_DS484112v1_random	446	211000022278846
GCA_000001215.4	Primary Assembly	X			DS484114.1	Chromosome	NW_001845403.1	unlocalized-scaffold	2871	chrX_DS484114v1_random	446	211000022278868
GCA_000001215.4	Primary Assembly	X			DS484124.1	Chromosome	NW_001845413.1	unlocalized-scaffold	2846	chrX_DS484124v1_random	446	211000022279968
GCA_000001215.4	Primary Assembly	X			DS484125.1	Chromosome	NW_001845414.1	unlocalized-scaffold	2844	chrX_DS484125v1_random	446	211000022279698
GCA_000001215.4	Primary Assembly	X			DS484126.1	Chromosome	NW_001845415.1	unlocalized-scaffold	2841	chrX_DS484126v1_random	446	211000022278463
GCA_000001215.4	Primary Assembly	X			DS484130.1	Chromosome	NW_001845419.1	unlocalized-scaffold	2834	chrX_DS484130v1_random	446	211000022279552
GCA_000001215.4	Primary Assembly	X			DS484131.1	Chromosome	NW_001845420.1	unlocalized-scaffold	2833	chrX_DS484131v1_random	446	211000022279703
GCA_000001215.4	Primary Assembly	X			DS484132.1	Chromosome	NW_001845421.1	unlocalized-scaffold	2830	chrX_DS484132v1_random	446	211000022280642
GCA_000001215.4	Primary Assembly	X			DS484133.1	Chromosome	NW_001845422.1	unlocalized-scaffold	2829	chrX_DS484133v1_random	446	211000022280592
GCA_000001215.4	Primary Assembly	X			DS484135.1	Chromosome	NW_001845424.1	unlocalized-scaffold	2825	chrX_DS484135v1_random	446	211000022279408
GCA_000001215.4	Primary Assembly	X			DS484136.1	Chromosome	NW_001845425.1	unlocalized-scaffold	2823	chrX_DS484136v1_random	446	211000022278821
GCA_000001215.4	Primary Assembly	X			DS484137.1	Chromosome	NW_001845426.1	unlocalized-scaffold	2822	chrX_DS484137v1_random	446	211000022279082
GCA_000001215.4	Primary Assembly	X			DS484140.1	Chromosome	NW_001845429.1	unlocalized-scaffold	2819	chrX_DS484140v1_random	446	211000022280537
GCA_000001215.4	Primary Assembly	X			DS484143.1	Chromosome	NW_001845432.1	unlocalized-scaffold	2814	chrX_DS484143v1_random	446	211000022279502
GCA_000001215.4	Primary Assembly	X			DS484161.1	Chromosome	NW_001845450.1	unlocalized-scaffold	2781	chrX_DS484161v1_random	446	211000022278209
GCA_000001215.4	Primary Assembly	X			DS484162.1	Chromosome	NW_001845451.1	unlocalized-scaffold	2765	chrX_DS484162v1_random	446	211000022279298
GCA_000001215.4	Primary Assembly	X			DS484165.1	Chromosome	NW_001845454.1	unlocalized-scaffold	2751	chrX_DS484165v1_random	446	211000022279287
GCA_000001215.4	Primary Assembly	X			DS484166.1	Chromosome	NW_001845455.1	unlocalized-scaffold	2750	chrX_DS484166v1_random	446	211000022280632
GCA_000001215.4	Primary Assembly	X			DS484178.1	Chromosome	NW_001845467.1	unlocalized-scaffold	2698	chrX_DS484178v1_random	446	211000022278921
GCA_000001215.4	Primary Assembly	X			DS484182.1	Chromosome	NW_001845471.1	unlocalized-scaffold	2689	chrX_DS484182v1_random	446	211000022278645
GCA_000001215.4	Primary Assembly	X			DS484185.1	Chromosome	NW_001845474.1	unlocalized-scaffold	2686	chrX_DS484185v1_random	446	211000022280148
GCA_000001215.4	Primary Assembly	X			DS484187.1	Chromosome	NW_001845476.1	unlocalized-scaffold	2671	chrX_DS484187v1_random	446	211000022280095
GCA_000001215.4	Primary Assembly	X			DS484198.1	Chromosome	NW_001845487.1	unlocalized-scaffold	2641	chrX_DS484198v1_random	446	211000022278630
GCA_000001215.4	Primary Assembly	X			DS484200.1	Chromosome	NW_001845489.1	unlocalized-scaffold	2639	chrX_DS484200v1_random	446	211000022278316
GCA_000001215.4	Primary Assembly	X			DS484201.1	Chromosome	NW_001845490.1	unlocalized-scaffold	2637	chrX_DS484201v1_random	446	211000022278615
GCA_000001215.4	Primary Assembly	X			DS484203.1	Chromosome	NW_001845492.1	unlocalized-scaffold	2635	chrX_DS484203v1_random	446	211000022279917
GCA_000001215.4	Primary Assembly	X			DS484215.1	Chromosome	NW_001845504.1	unlocalized-scaffold	2605	chrX_DS484215v1_random	446	211000022278648
GCA_000001215.4	Primary Assembly	X			DS484216.1	Chromosome	NW_001845505.1	unlocalized-scaffold	2603	chrX_DS484216v1_random	446	211000022280062
GCA_000001215.4	Primary Assembly	X			DS484219.1	Chromosome	NW_001845508.1	unlocalized-scaffold	2591	chrX_DS484219v1_random	446	211000022278299
GCA_000001215.4	Primary Assembly	X			DS484235.1	Chromosome	NW_001845524.1	unlocalized-scaffold	2557	chrX_DS484235v1_random	446	211000022278489
GCA_000001215.4	Primary Assembly	X			DS484252.1	Chromosome	NW_001845541.1	unlocalized-scaffold	2520	chrX_DS484252v1_random	446	211000022278831
GCA_000001215.4	Primary Assembly	X			DS484260.1	Chromosome	NW_001845549.1	unlocalized-scaffold	2505	chrX_DS484260v1_random	446	211000022279062
GCA_000001215.4	Primary Assembly	X			DS484261.1	Chromosome	NW_001845550.1	unlocalized-scaffold	2500	chrX_DS484261v1_random	446	211000022278622
GCA_000001215.4	Primary Assembly	X			DS484268.1	Chromosome	NW_001845557.1	unlocalized-scaffold	2475	chrX_DS484268v1_random	446	211000022279902
GCA_000001215.4	Primary Assembly	X			DS484272.1	Chromosome	NW_001845561.1	unlocalized-scaffold	2464	chrX_DS484272v1_random	446	211000022278172
GCA_000001215.4	Primary Assembly	X			DS484273.1	Chromosome	NW_001845562.1	unlocalized-scaffold	2463	chrX_DS484273v1_random	446	211000022279994
GCA_000001215.4	Primary Assembly	X			DS484278.1	Chromosome	NW_001845567.1	unlocalized-scaffold	2439	chrX_DS484278v1_random	446	211000022280586
GCA_000001215.4	Primary Assembly	X			DS484284.1	Chromosome	NW_001845573.1	unlocalized-scaffold	2432	chrX_DS484284v1_random	446	211000022278225
GCA_000001215.4	Primary Assembly	X			DS484288.1	Chromosome	NW_001845577.1	unlocalized-scaffold	2425	chrX_DS484288v1_random	446	211000022278828
GCA_000001215.4	Primary Assembly	X			DS484293.1	Chromosome	NW_001845582.1	unlocalized-scaffold	2420	chrX_DS484293v1_random	446	211000022279537
GCA_000001215.4	Primary Assembly	X			DS484297.1	Chromosome	NW_001845586.1	unlocalized-scaffold	2413	chrX_DS484297v1_random	446	211000022279967
GCA_000001215.4	Primary Assembly	X			DS484298.1	Chromosome	NW_001845587.1	unlocalized-scaffold	2412	chrX_DS484298v1_random	446	211000022278578
GCA_000001215.4	Primary Assembly	X			DS484305.1	Chromosome	NW_001845594.1	unlocalized-scaffold	2389	chrX_DS484305v1_random	446	211000022278908
GCA_000001215.4	Primary Assembly	X			DS484316.1	Chromosome	NW_001845605.1	unlocalized-scaffold	2379	chrX_DS484316v1_random	446	211000022280453
GCA_000001215.4	Primary Assembly	X			DS484319.1	Chromosome	NW_001845608.1	unlocalized-scaffold	2372	chrX_DS484319v1_random	446	211000022279530
GCA_000001215.4	Primary Assembly	X			DS484322.1	Chromosome	NW_001845611.1	unlocalized-scaffold	2366	chrX_DS484322v1_random	446	211000022279340
GCA_000001215.4	Primary Assembly	X			DS484323.1	Chromosome	NW_001845612.1	unlocalized-scaffold	2363	chrX_DS484323v1_random	446	211000022278844
GCA_000001215.4	Primary Assembly	X			DS484326.1	Chromosome	NW_001845615.1	unlocalized-scaffold	2357	chrX_DS484326v1_random	446	211000022280507
GCA_000001215.4	Primary Assembly	X			DS484328.1	Chromosome	NW_001845617.1	unlocalized-scaffold	2355	chrX_DS484328v1_random	446	211000022279704
GCA_000001215.4	Primary Assembly	X			DS484330.1	Chromosome	NW_001845619.1	unlocalized-scaffold	2353	chrX_DS484330v1_random	446	211000022280534
GCA_000001215.4	Primary Assembly	X			DS484337.1	Chromosome	NW_001845626.1	unlocalized-scaffold	2335	chrX_DS484337v1_random	446	211000022278649
GCA_000001215.4	Primary Assembly	X			DS484341.1	Chromosome	NW_001845630.1	unlocalized-scaffold	2328	chrX_DS484341v1_random	446	211000022280633
GCA_000001215.4	Primary Assembly	X			DS484344.1	Chromosome	NW_001845633.1	unlocalized-scaffold	2322	chrX_DS484344v1_random	446	211000022279092
GCA_000001215.4	Primary Assembly	X			DS484345.1	Chromosome	NW_001845634.1	unlocalized-scaffold	2318	chrX_DS484345v1_random	446	211000022279774
GCA_000001215.4	Primary Assembly	X			DS484346.1	Chromosome	NW_001845635.1	unlocalized-scaffold	2317	chrX_DS484346v1_random	446	211000022279504
GCA_000001215.4	Primary Assembly	X			DS484349.1	Chromosome	NW_001845638.1	unlocalized-scaffold	2307	chrX_DS484349v1_random	446	211000022278810
GCA_000001215.4	Primary Assembly	X			DS484354.1	Chromosome	NW_001845643.1	unlocalized-scaffold	2293	chrX_DS484354v1_random	446	211000022278557
GCA_000001215.4	Primary Assembly	X			DS484356.1	Chromosome	NW_001845645.1	unlocalized-scaffold	2289	chrX_DS484356v1_random	446	211000022279689
GCA_000001215.4	Primary Assembly	X			DS484357.1	Chromosome	NW_001845646.1	unlocalized-scaffold	2287	chrX_DS484357v1_random	446	211000022279085
GCA_000001215.4	Primary Assembly	X			DS484358.1	Chromosome	NW_001845647.1	unlocalized-scaffold	2286	chrX_DS484358v1_random	446	211000022278341
GCA_000001215.4	Primary Assembly	X			DS484359.1	Chromosome	NW_001845648.1	unlocalized-scaffold	2284	chrX_DS484359v1_random	446	211000022279553
GCA_000001215.4	Primary Assembly	X			DS484360.1	Chromosome	NW_001845649.1	unlocalized-scaffold	2283	chrX_DS484360v1_random	446	211000022278823
GCA_000001215.4	Primary Assembly	X			DS484361.1	Chromosome	NW_001845650.1	unlocalized-scaffold	2282	chrX_DS484361v1_random	446	211000022279732
GCA_000001215.4	Primary Assembly	X			DS484362.1	Chromosome	NW_001845651.1	unlocalized-scaffold	2273	chrX_DS484362v1_random	446	211000022278612
GCA_000001215.4	Primary Assembly	X			DS484364.1	Chromosome	NW_001845653.1	unlocalized-scaffold	2269	chrX_DS484364v1_random	446	211000022278639
GCA_000001215.4	Primary Assembly	X			DS484367.1	Chromosome	NW_001845656.1	unlocalized-scaffold	2259	chrX_DS484367v1_random	446	211000022278249
GCA_000001215.4	Primary Assembly	X			DS484368.1	Chromosome	NW_001845657.1	unlocalized-scaffold	2259	chrX_DS484368v1_random	446	211000022278629
GCA_000001215.4	Primary Assembly	X			DS484371.1	Chromosome	NW_001845660.1	unlocalized-scaffold	2247	chrX_DS484371v1_random	446	211000022280330
GCA_000001215.4	Primary Assembly	X			DS484374.1	Chromosome	NW_001845663.1	unlocalized-scaffold	2237	chrX_DS484374v1_random	446	211000022279299
GCA_000001215.4	Primary Assembly	X			DS484379.1	Chromosome	NW_001845668.1	unlocalized-scaffold	2228	chrX_DS484379v1_random	446	211000022278513
GCA_000001215.4	Primary Assembly	X			DS484382.1	Chromosome	NW_001845671.1	unlocalized-scaffold	2223	chrX_DS484382v1_random	446	211000022280088
GCA_000001215.4	Primary Assembly	X			DS484384.1	Chromosome	NW_001845673.1	unlocalized-scaffold	2220	chrX_DS484384v1_random	446	211000022279514
GCA_000001215.4	Primary Assembly	X			DS484387.1	Chromosome	NW_001845676.1	unlocalized-scaffold	2210	chrX_DS484387v1_random	446	211000022280442
GCA_000001215.4	Primary Assembly	X			DS484388.1	Chromosome	NW_001845677.1	unlocalized-scaffold	2209	chrX_DS484388v1_random	446	211000022278461
GCA_000001215.4	Primary Assembly	X			DS484393.1	Chromosome	NW_001845682.1	unlocalized-scaffold	2201	chrX_DS484393v1_random	446	211000022278608
GCA_000001215.4	Primary Assembly	X			DS484397.1	Chromosome	NW_001845686.1	unlocalized-scaffold	2196	chrX_DS484397v1_random	446	211000022278628
GCA_000001215.4	Primary Assembly	X			DS484399.1	Chromosome	NW_001845688.1	unlocalized-scaffold	2192	chrX_DS484399v1_random	446	211000022278359
GCA_000001215.4	Primary Assembly	X			DS484401.1	Chromosome	NW_001845690.1	unlocalized-scaffold	2189	chrX_DS484401v1_random	446	211000022278555
GCA_000001215.4	Primary Assembly	X			DS484402.1	Chromosome	NW_001845691.1	unlocalized-scaffold	2189	chrX_DS484402v1_random	446	211000022278467
GCA_000001215.4	Primary Assembly	X			DS484406.1	Chromosome	NW_001845695.1	unlocalized-scaffold	2177	chrX_DS484406v1_random	446	211000022278775
GCA_000001215.4	Primary Assembly	X			DS484409.1	Chromosome	NW_001845698.1	unlocalized-scaffold	2166	chrX_DS484409v1_random	446	211000022278853
GCA_000001215.4	Primary Assembly	X			DS484411.1	Chromosome	NW_001845700.1	unlocalized-scaffold	2161	chrX_DS484411v1_random	446	211000022278616
GCA_000001215.4	Primary Assembly	X			DS484415.1	Chromosome	NW_001845704.1	unlocalized-scaffold	2147	chrX_DS484415v1_random	446	211000022278825
GCA_000001215.4	Primary Assembly	X			DS484417.1	Chromosome	NW_001845706.1	unlocalized-scaffold	2139	chrX_DS484417v1_random	446	211000022279834
GCA_000001215.4	Primary Assembly	X			DS484419.1	Chromosome	NW_001845708.1	unlocalized-scaffold	2132	chrX_DS484419v1_random	446	211000022279084
GCA_000001215.4	Primary Assembly	X			DS484423.1	Chromosome	NW_001845712.1	unlocalized-scaffold	2126	chrX_DS484423v1_random	446	211000022279307
GCA_000001215.4	Primary Assembly	X			DS484428.1	Chromosome	NW_001845717.1	unlocalized-scaffold	2114	chrX_DS484428v1_random	446	211000022278353
GCA_000001215.4	Primary Assembly	X			DS484429.1	Chromosome	NW_001845718.1	unlocalized-scaffold	2113	chrX_DS484429v1_random	446	211000022278320
GCA_000001215.4	Primary Assembly	X			DS484430.1	Chromosome	NW_001845719.1	unlocalized-scaffold	2113	chrX_DS484430v1_random	446	211000022278343
GCA_000001215.4	Primary Assembly	X			DS484431.1	Chromosome	NW_001845720.1	unlocalized-scaffold	2113	chrX_DS484431v1_random	446	211000022278490
GCA_000001215.4	Primary Assembly	X			DS484433.1	Chromosome	NW_001845722.1	unlocalized-scaffold	2109	chrX_DS484433v1_random	446	211000022279305
GCA_000001215.4	Primary Assembly	X			DS484442.1	Chromosome	NW_001845731.1	unlocalized-scaffold	2096	chrX_DS484442v1_random	446	211000022278840
GCA_000001215.4	Primary Assembly	X			DS484444.1	Chromosome	NW_001845733.1	unlocalized-scaffold	2094	chrX_DS484444v1_random	446	211000022279063
GCA_000001215.4	Primary Assembly	X			DS484447.1	Chromosome	NW_001845736.1	unlocalized-scaffold	2089	chrX_DS484447v1_random	446	211000022278431
GCA_000001215.4	Primary Assembly	X			DS484450.1	Chromosome	NW_001845739.1	unlocalized-scaffold	2087	chrX_DS484450v1_random	446	211000022278464
GCA_000001215.4	Primary Assembly	X			DS484457.1	Chromosome	NW_001845746.1	unlocalized-scaffold	2079	chrX_DS484457v1_random	446	211000022278845
GCA_000001215.4	Primary Assembly	X			DS484459.1	Chromosome	NW_001845748.1	unlocalized-scaffold	2078	chrX_DS484459v1_random	446	211000022278226
GCA_000001215.4	Primary Assembly	X			DS484462.1	Chromosome	NW_001845751.1	unlocalized-scaffold	2068	chrX_DS484462v1_random	446	211000022279601
GCA_000001215.4	Primary Assembly	X			DS484468.1	Chromosome	NW_001845757.1	unlocalized-scaffold	2060	chrX_DS484468v1_random	446	211000022279715
GCA_000001215.4	Primary Assembly	X			DS484474.1	Chromosome	NW_001845763.1	unlocalized-scaffold	2044	chrX_DS484474v1_random	446	211000022279332
GCA_000001215.4	Primary Assembly	X			DS484477.1	Chromosome	NW_001845766.1	unlocalized-scaffold	2035	chrX_DS484477v1_random	446	211000022278695
GCA_000001215.4	Primary Assembly	X			DS484483.1	Chromosome	NW_001845772.1	unlocalized-scaffold	2021	chrX_DS484483v1_random	446	211000022278817
GCA_000001215.4	Primary Assembly	X			DS484488.1	Chromosome	NW_001845777.1	unlocalized-scaffold	2009	chrX_DS484488v1_random	446	211000022280594
GCA_000001215.4	Primary Assembly	X			DS484497.1	Chromosome	NW_001845786.1	unlocalized-scaffold	1998	chrX_DS484497v1_random	446	211000022278482
GCA_000001215.4	Primary Assembly	X			DS484500.1	Chromosome	NW_001845789.1	unlocalized-scaffold	1993	chrX_DS484500v1_random	446	211000022278820
GCA_000001215.4	Primary Assembly	X			DS484504.1	Chromosome	NW_001845793.1	unlocalized-scaffold	1986	chrX_DS484504v1_random	446	211000022278619
GCA_000001215.4	Primary Assembly	X			DS484506.1	Chromosome	NW_001845795.1	unlocalized-scaffold	1980	chrX_DS484506v1_random	446	211000022278976
GCA_000001215.4	Primary Assembly	X			DS484507.1	Chromosome	NW_001845796.1	unlocalized-scaffold	1978	chrX_DS484507v1_random	446	211000022278233
GCA_000001215.4	Primary Assembly	X			DS484512.1	Chromosome	NW_001845801.1	unlocalized-scaffold	1970	chrX_DS484512v1_random	446	211000022278317
GCA_000001215.4	Primary Assembly	X			DS484518.1	Chromosome	NW_001845807.1	unlocalized-scaffold	1964	chrX_DS484518v1_random	446	211000022278321
GCA_000001215.4	Primary Assembly	X			DS484519.1	Chromosome	NW_001845808.1	unlocalized-scaffold	1963	chrX_DS484519v1_random	446	211000022278879
