Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000031.1	Chromosome	NW_025225088.1	unplaced-scaffold	76226			scaffold3B_scf_1283
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000032.1	Chromosome	NW_025225089.1	unplaced-scaffold	8946			scaffold3B_scf_1397
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000033.1	Chromosome	NW_025225090.1	unplaced-scaffold	36528			scaffold3B_scf_1404
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000034.1	Chromosome	NW_025225091.1	unplaced-scaffold	3437			scaffold3B_scf_1419
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000035.1	Chromosome	NW_025225092.1	unplaced-scaffold	2951			scaffold3D_scf_1546
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000036.1	Chromosome	NW_025225093.1	unplaced-scaffold	159362			scaffold3D_scf_1593
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000037.1	Chromosome	NW_025225094.1	unplaced-scaffold	118565			scaffold3D_scf_1594
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000038.1	Chromosome	NW_025225095.1	unplaced-scaffold	344877			scaffold4A_scf_1717
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000039.1	Chromosome	NW_025225096.1	unplaced-scaffold	224936			scaffold4A_scf_1719
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000040.1	Chromosome	NW_025225097.1	unplaced-scaffold	298163			scaffold4A_scf_1723
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000041.1	Chromosome	NW_025225098.1	unplaced-scaffold	2132737			scaffold4B_scf_1981
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000042.1	Chromosome	NW_025225099.1	unplaced-scaffold	1464287			scaffold4B_scf_1987
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000043.1	Chromosome	NW_025225100.1	unplaced-scaffold	93506			scaffold4D_scf_2126
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000044.1	Chromosome	NW_025225101.1	unplaced-scaffold	19385			scaffold4D_scf_2174
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000045.1	Chromosome	NW_025225102.1	unplaced-scaffold	73352			scaffold4D_scf_2211
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000046.1	Chromosome	NW_025225103.1	unplaced-scaffold	287038			scaffold5B_scf_2534
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000047.1	Chromosome	NW_025225104.1	unplaced-scaffold	17446			scaffold5D_scf_2654
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000048.1	Chromosome	NW_025225105.1	unplaced-scaffold	7886			scaffold5D_scf_2670
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000049.1	Chromosome	NW_025225106.1	unplaced-scaffold	316264			scaffold5D_scf_2686
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000050.1	Chromosome	NW_025225107.1	unplaced-scaffold	1167			scaffold5D_scf_2732
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000051.1	Chromosome	NW_025225108.1	unplaced-scaffold	197293			scaffold6A_scf_2883
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000052.1	Chromosome	NW_025225109.1	unplaced-scaffold	302535			scaffold6A_scf_2886
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000053.1	Chromosome	NW_025225110.1	unplaced-scaffold	41894			scaffold6B_scf_2973
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000054.1	Chromosome	NW_025225111.1	unplaced-scaffold	78076			scaffold6D_scf_3241
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000055.1	Chromosome	NW_025225112.1	unplaced-scaffold	9401			scaffold7A_scf_3422
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000056.1	Chromosome	NW_025225113.1	unplaced-scaffold	114952			scaffold7A_scf_3554
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000057.1	Chromosome	NW_025225114.1	unplaced-scaffold	2216			scaffold7B_scf_3560
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000058.1	Chromosome	NW_025225115.1	unplaced-scaffold	254280			scaffold7B_scf_3587
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000059.1	Chromosome	NW_025225116.1	unplaced-scaffold	34381			scaffold7B_scf_3815
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000060.1	Chromosome	NW_025225117.1	unplaced-scaffold	22295			scaffold7D_scf_3849
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000061.1	Chromosome	NW_025225118.1	unplaced-scaffold	155703			scaffold7D_scf_3939
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000062.1	Chromosome	NW_025225119.1	unplaced-scaffold	4401			scaffold200527
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000063.1	Chromosome	NW_025225120.1	unplaced-scaffold	3443			scaffold240475
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000064.1	Chromosome	NW_025225121.1	unplaced-scaffold	91873			scaffold94657
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000065.1	Chromosome	NW_025225122.1	unplaced-scaffold	12248			scaffold198175
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000066.1	Chromosome	NW_025225123.1	unplaced-scaffold	10362			scaffold59065
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000067.1	Chromosome	NW_025225124.1	unplaced-scaffold	72448			scaffold331902
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000068.1	Chromosome	NW_025225125.1	unplaced-scaffold	11074			scaffold87867
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000069.1	Chromosome	NW_025225126.1	unplaced-scaffold	2109			scaffold149540
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000070.1	Chromosome	NW_025225127.1	unplaced-scaffold	3601			scaffold90211
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000071.1	Chromosome	NW_025225128.1	unplaced-scaffold	7027			scaffold183149
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000072.1	Chromosome	NW_025225129.1	unplaced-scaffold	6578			scaffold189918
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000073.1	Chromosome	NW_025225130.1	unplaced-scaffold	3017			scaffold216789
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000074.1	Chromosome	NW_025225131.1	unplaced-scaffold	1922			scaffold173773
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000075.1	Chromosome	NW_025225132.1	unplaced-scaffold	5070			scaffold170661
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000076.1	Chromosome	NW_025225133.1	unplaced-scaffold	3705			scaffold284107
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000077.1	Chromosome	NW_025225134.1	unplaced-scaffold	2596			scaffold222883
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000078.1	Chromosome	NW_025225135.1	unplaced-scaffold	2425			scaffold73641
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000079.1	Chromosome	NW_025225136.1	unplaced-scaffold	1234			scaffold186677
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000080.1	Chromosome	NW_025225137.1	unplaced-scaffold	824			scaffold180148
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000081.1	Chromosome	NW_025225138.1	unplaced-scaffold	62307			scaffold4989
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000082.1	Chromosome	NW_025225139.1	unplaced-scaffold	55186			scaffold10867
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000083.1	Chromosome	NW_025225140.1	unplaced-scaffold	50198			scaffold86901
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000084.1	Chromosome	NW_025225141.1	unplaced-scaffold	30595			scaffold67687
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000085.1	Chromosome	NW_025225142.1	unplaced-scaffold	22696			scaffold116893
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000086.1	Chromosome	NW_025225143.1	unplaced-scaffold	15273			scaffold33109
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000087.1	Chromosome	NW_025225144.1	unplaced-scaffold	13673			scaffold148686
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000088.1	Chromosome	NW_025225145.1	unplaced-scaffold	10671			scaffold148616
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000089.1	Chromosome	NW_025225146.1	unplaced-scaffold	10017			scaffold232555
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000090.1	Chromosome	NW_025225147.1	unplaced-scaffold	9342			scaffold36370
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000091.1	Chromosome	NW_025225148.1	unplaced-scaffold	9113			scaffold66329
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000092.1	Chromosome	NW_025225149.1	unplaced-scaffold	8937			scaffold122985
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000093.1	Chromosome	NW_025225150.1	unplaced-scaffold	7763			scaffold199672
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000094.1	Chromosome	NW_025225151.1	unplaced-scaffold	5732			scaffold27389
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000095.1	Chromosome	NW_025225152.1	unplaced-scaffold	4958			scaffold187615
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000096.1	Chromosome	NW_025225153.1	unplaced-scaffold	3461			scaffold86354
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000097.1	Chromosome	NW_025225154.1	unplaced-scaffold	2812			scaffold81329
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000098.1	Chromosome	NW_025225155.1	unplaced-scaffold	2613			scaffold81670
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000099.1	Chromosome	NW_025225156.1	unplaced-scaffold	2310			scaffold307218
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000100.1	Chromosome	NW_025225157.1	unplaced-scaffold	2233			scaffold55584
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000101.1	Chromosome	NW_025225158.1	unplaced-scaffold	2135			scaffold2256
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000102.1	Chromosome	NW_025225159.1	unplaced-scaffold	2076			scaffold69419
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000103.1	Chromosome	NW_025225160.1	unplaced-scaffold	1392			scaffold79104
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000104.1	Chromosome	NW_025225161.1	unplaced-scaffold	21575			scaffold169776
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000105.1	Chromosome	NW_025225162.1	unplaced-scaffold	5435			scaffold230172
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000106.1	Chromosome	NW_025225163.1	unplaced-scaffold	2962			scaffold139609
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000107.1	Chromosome	NW_025225164.1	unplaced-scaffold	2704			scaffold223810
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000108.1	Chromosome	NW_025225165.1	unplaced-scaffold	1123			scaffold243119
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000109.1	Chromosome	NW_025225166.1	unplaced-scaffold	2741			scaffold233461
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000110.1	Chromosome	NW_025225167.1	unplaced-scaffold	4230			scaffold253905
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000111.1	Chromosome	NW_025225168.1	unplaced-scaffold	7842			scaffold49806
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000112.1	Chromosome	NW_025225169.1	unplaced-scaffold	5267			scaffold9395
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000113.1	Chromosome	NW_025225170.1	unplaced-scaffold	11197			scaffold26740
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000114.1	Chromosome	NW_025225171.1	unplaced-scaffold	2518			scaffold230484
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000115.1	Chromosome	NW_025225172.1	unplaced-scaffold	11149			scaffold183692
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000116.1	Chromosome	NW_025225173.1	unplaced-scaffold	4541			scaffold1637
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000117.1	Chromosome	NW_025225174.1	unplaced-scaffold	1557			scaffold221778
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000118.1	Chromosome	NW_025225175.1	unplaced-scaffold	19055			scaffold48212
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000119.1	Chromosome	NW_025225176.1	unplaced-scaffold	7732			scaffold234476
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000120.1	Chromosome	NW_025225177.1	unplaced-scaffold	6091			scaffold189929
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000121.1	Chromosome	NW_025225178.1	unplaced-scaffold	9227			scaffold192057
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000122.1	Chromosome	NW_025225179.1	unplaced-scaffold	12711			scaffold104143
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000123.1	Chromosome	NW_025225180.1	unplaced-scaffold	62245			scaffold27904
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000124.1	Chromosome	NW_025225181.1	unplaced-scaffold	26040			scaffold16014
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000125.1	Chromosome	NW_025225182.1	unplaced-scaffold	19200			scaffold104550
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000126.1	Chromosome	NW_025225183.1	unplaced-scaffold	13575			scaffold97075
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000127.1	Chromosome	NW_025225184.1	unplaced-scaffold	8355			scaffold148674
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000128.1	Chromosome	NW_025225185.1	unplaced-scaffold	4908			scaffold135435
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000129.1	Chromosome	NW_025225186.1	unplaced-scaffold	4733			scaffold55455
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000130.1	Chromosome	NW_025225187.1	unplaced-scaffold	4468			scaffold111906
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000131.1	Chromosome	NW_025225188.1	unplaced-scaffold	3471			scaffold222007
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000132.1	Chromosome	NW_025225189.1	unplaced-scaffold	3111			scaffold77069
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000133.1	Chromosome	NW_025225190.1	unplaced-scaffold	2033			scaffold107540
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000134.1	Chromosome	NW_025225191.1	unplaced-scaffold	2010			scaffold256820
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000135.1	Chromosome	NW_025225192.1	unplaced-scaffold	1926			scaffold296699
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000136.1	Chromosome	NW_025225193.1	unplaced-scaffold	1810			scaffold23037-3-3
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000137.1	Chromosome	NW_025225194.1	unplaced-scaffold	2496			scaffold179440
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000138.1	Chromosome	NW_025225195.1	unplaced-scaffold	7188			scaffold195856
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000139.1	Chromosome	NW_025225196.1	unplaced-scaffold	14084			scaffold1419
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000140.1	Chromosome	NW_025225197.1	unplaced-scaffold	3726			scaffold207244
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000141.1	Chromosome	NW_025225198.1	unplaced-scaffold	2725			scaffold197819
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000142.1	Chromosome	NW_025225199.1	unplaced-scaffold	1775			scaffold302635
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000143.1	Chromosome	NW_025225200.1	unplaced-scaffold	1734			scaffold232180
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000144.1	Chromosome	NW_025225201.1	unplaced-scaffold	1404			scaffold174196
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000145.1	Chromosome	NW_025225202.1	unplaced-scaffold	5607			scaffold216994
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000146.1	Chromosome	NW_025225203.1	unplaced-scaffold	96706			scaffold130180
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000147.1	Chromosome	NW_025225204.1	unplaced-scaffold	52879			scaffold102555
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000148.1	Chromosome	NW_025225205.1	unplaced-scaffold	171098			scaffold74138
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000149.1	Chromosome	NW_025225206.1	unplaced-scaffold	5867			scaffold57755
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000150.1	Chromosome	NW_025225207.1	unplaced-scaffold	7806			scaffold66322
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000151.1	Chromosome	NW_025225208.1	unplaced-scaffold	1612			scaffold178018
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000152.1	Chromosome	NW_025225209.1	unplaced-scaffold	679			scaffold209866
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000153.1	Chromosome	NW_025225210.1	unplaced-scaffold	34439			scaffold19445
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000154.1	Chromosome	NW_025225211.1	unplaced-scaffold	8305			scaffold135744
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000155.1	Chromosome	NW_025225212.1	unplaced-scaffold	3819			scaffold71814
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000156.1	Chromosome	NW_025225213.1	unplaced-scaffold	15108			scaffold95196
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000157.1	Chromosome	NW_025225214.1	unplaced-scaffold	34824			scaffold833
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000158.1	Chromosome	NW_025225215.1	unplaced-scaffold	89267			scaffold42856
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000159.1	Chromosome	NW_025225216.1	unplaced-scaffold	67070			scaffold27346
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000160.1	Chromosome	NW_025225217.1	unplaced-scaffold	47479			scaffold83142
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000161.1	Chromosome	NW_025225218.1	unplaced-scaffold	47061			scaffold13138
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000162.1	Chromosome	NW_025225219.1	unplaced-scaffold	28472			scaffold83614
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000163.1	Chromosome	NW_025225220.1	unplaced-scaffold	17379			scaffold91431
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000164.1	Chromosome	NW_025225221.1	unplaced-scaffold	10487			scaffold107646
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000165.1	Chromosome	NW_025225222.1	unplaced-scaffold	10340			scaffold172752
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000166.1	Chromosome	NW_025225223.1	unplaced-scaffold	10178			scaffold57773
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000167.1	Chromosome	NW_025225224.1	unplaced-scaffold	9372			scaffold177299
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000168.1	Chromosome	NW_025225225.1	unplaced-scaffold	4966			scaffold75126
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000169.1	Chromosome	NW_025225226.1	unplaced-scaffold	3203			scaffold171685
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000170.1	Chromosome	NW_025225227.1	unplaced-scaffold	2536			scaffold90606
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000171.1	Chromosome	NW_025225228.1	unplaced-scaffold	2023			scaffold35778
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000172.1	Chromosome	NW_025225229.1	unplaced-scaffold	1215			scaffold156169
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000173.1	Chromosome	NW_025225230.1	unplaced-scaffold	13564			scaffold34086
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000174.1	Chromosome	NW_025225231.1	unplaced-scaffold	22623			scaffold25544
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000175.1	Chromosome	NW_025225232.1	unplaced-scaffold	36708			scaffold125158
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000176.1	Chromosome	NW_025225233.1	unplaced-scaffold	3395			scaffold172190
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000177.1	Chromosome	NW_025225234.1	unplaced-scaffold	1692			scaffold239303
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000178.1	Chromosome	NW_025225235.1	unplaced-scaffold	63827			scaffold81574
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000179.1	Chromosome	NW_025225236.1	unplaced-scaffold	65420			scaffold54952
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000180.1	Chromosome	NW_025225237.1	unplaced-scaffold	45960			scaffold32647
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000181.1	Chromosome	NW_025225238.1	unplaced-scaffold	89826			scaffold57351
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000182.1	Chromosome	NW_025225239.1	unplaced-scaffold	4305			scaffold69843
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000183.1	Chromosome	NW_025225240.1	unplaced-scaffold	3771			scaffold64969
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000184.1	Chromosome	NW_025225241.1	unplaced-scaffold	34664			scaffold63924
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000185.1	Chromosome	NW_025225242.1	unplaced-scaffold	15311			scaffold118104
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000186.1	Chromosome	NW_025225243.1	unplaced-scaffold	14510			scaffold23442
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000187.1	Chromosome	NW_025225244.1	unplaced-scaffold	8744			scaffold187183
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000188.1	Chromosome	NW_025225245.1	unplaced-scaffold	8506			scaffold14955
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000189.1	Chromosome	NW_025225246.1	unplaced-scaffold	7143			scaffold33259
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000190.1	Chromosome	NW_025225247.1	unplaced-scaffold	7008			scaffold166730
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000191.1	Chromosome	NW_025225248.1	unplaced-scaffold	4492			scaffold188379
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000192.1	Chromosome	NW_025225249.1	unplaced-scaffold	4474			scaffold204770
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000193.1	Chromosome	NW_025225250.1	unplaced-scaffold	4112			scaffold34467
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000194.1	Chromosome	NW_025225251.1	unplaced-scaffold	2956			scaffold254092
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000195.1	Chromosome	NW_025225252.1	unplaced-scaffold	2662			scaffold198799
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000196.1	Chromosome	NW_025225253.1	unplaced-scaffold	1995			scaffold101472
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000197.1	Chromosome	NW_025225254.1	unplaced-scaffold	1421			scaffold285797
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000198.1	Chromosome	NW_025225255.1	unplaced-scaffold	4852			scaffold38511
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000199.1	Chromosome	NW_025225256.1	unplaced-scaffold	2704			scaffold115687
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000200.1	Chromosome	NW_025225257.1	unplaced-scaffold	7733			scaffold148105
